repo,prs,loc,stars,contributors,language,tier,avg_manifest
astro,10,196068,48000,900,typescript,enterprise,6371
axum,10,4807,20000,300,rust,growth,440
dub,10,387143,19000,100,typescript,growth,3937
excalidraw,10,166690,90000,500,typescript,enterprise,1208
fastapi,10,107824,80000,700,python,enterprise,2905
instructor,10,49477,9000,100,python,growth,777
langchain,10,331984,98000,3000,python,enterprise,4629
leptos,10,129284,17000,200,rust,growth,1474
litestar,10,104052,6000,200,python,growth,1403
neon,10,407251,16000,200,rust,growth,1900
oxc,10,942301,13000,300,rust,growth,7211
payload,10,724431,30000,300,typescript,growth,7946
pocketbase,10,144426,43000,100,go,growth,623
prefect,10,787226,18000,300,python,growth,5006
prisma,10,223901,40000,400,typescript,growth,4575
ratatui,10,76317,12000,200,rust,growth,396
reflex,10,105144,22000,200,python,growth,496
sdk-go,4,121834,600,80,go,startup,391
shuttle,10,14546,7000,100,rust,growth,194
slidev,10,19785,34000,200,typescript,growth,676
supabase,10,817175,75000,1000,typescript,enterprise,14549
textual,2,136413,26000,200,python,growth,2080
trpc,10,83150,35000,200,typescript,growth,1301
wxt,10,45959,5000,80,typescript,startup,615
zed,10,1182934,52000,800,rust,enterprise,3883
